"Latitude","Longitude","Query","Size"
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",1
40.768924,-73.975307,"Central Park",22
40.768924,-73.975307,"Central Park",4
40.78151,-73.971867,"Central Park",1
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",7
40.78151,-73.971867,"Central Park",19
40.775605,-73.971948,"Central Park",6
40.768001,-73.974466,"Central Park",3
40.774646,-73.977114,"Central Park",11
40.751167,-73.991116,"Central Park",2
40.765877,-73.97652,"Central Park",1
40.775605,-73.971948,"Central Park",13
40.768924,-73.975307,"Central Park",2
40.76635,-73.976744,"Central Park",6
40.768924,-73.975307,"Central Park",3
40.773237,-73.974228,"Central Park",4
40.761985,-73.980259,"Central Park",12
40.78151,-73.971867,"Central Park",3
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",2
40.766209,-73.977342,"Central Park",1
40.77819,-73.979642,"Central Park",7
40.784979,-73.966743,"Central Park",4
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",15
40.772596,-73.97129,"Central Park",19
40.768924,-73.975307,"Central Park",4
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",9
40.768924,-73.975307,"Central Park",11
40.768924,-73.975307,"Central Park",6
40.76977,-73.975264,"Central Park",15
40.768924,-73.975307,"Central Park",5
40.759041,-73.979222,"Central Park",9
40.768282,-73.981671,"Central Park",21
40.768924,-73.975307,"Central Park",15
40.783333,-73.966667,"Central Park",6
40.768924,-73.975307,"Central Park",11
40.766348,-73.976738,"Central Park",6
40.768924,-73.975307,"Central Park",4
40.766209,-73.977342,"Central Park",20
40.78151,-73.971867,"Central Park",3
40.766348,-73.976738,"Central Park",10
40.768924,-73.975307,"Central Park",36
40.768924,-73.975307,"Central Park",5
40.765386,-73.973752,"Central Park",12
40.783633,-73.974456,"Central Park",6
40.774087,-73.970903,"Central Park",2
40.768924,-73.975307,"Central Park",4
40.781499,-73.97184,"Central Park",12
40.766348,-73.976738,"Central Park",27
40.768924,-73.975307,"Central Park",8
40.765386,-73.973752,"Central Park",9
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",8
40.77766,-73.973346,"Central Park",9
40.768924,-73.975307,"Central Park",1
40.758288,-73.98643,"Central Park",2
40.784979,-73.966743,"Central Park",3
40.756198,-73.972531,"Central Park",3
40.768924,-73.975307,"Central Park",11
40.764226,-73.973351,"Central Park",15
40.768924,-73.975307,"Central Park",6
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",8
40.768924,-73.975307,"Central Park",11
40.764048,-73.974888,"Central Park",4
40.775683,-73.972664,"Central Park",2
40.768924,-73.975307,"Central Park",19
40.768924,-73.975307,"Central Park",35
40.783408,-73.959307,"Central Park",8
40.775654,-73.975151,"Central Park",7
40.782234,-73.971137,"Central Park",17
40.768924,-73.975307,"Central Park",12
40.768924,-73.975307,"Central Park",7
40.768924,-73.975307,"Central Park",4
