id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
465,SSIF,small_airport,"Fazenda Baunilha Airport",-23.560300827026367,-54.03390121459961,970,SA,BR,BR-MS,Itaquiraí,0,SSIF,,SSIF,,,,50,2008-06-24T09:40:26+00:00
36124,SIMY,small_airport,"Fazenda Porto Oculto Airport",-23.212499618530273,-54.095279693603516,972,SA,BR,BR-MS,Itaquiraí,0,SIMY,,,,,,50,2008-06-24T09:40:26+00:00
36707,SJMR,small_airport,"Maragogipe Airport",-23.461111068725586,-54.29888916015625,998,SA,BR,BR-MS,Itaquiraí,0,SJMR,,,,,,50,2008-06-24T09:40:26+00:00
37314,SNWG,small_airport,"Fazenda Iporã Airport",-23.586944580078125,-54.057777404785156,1476,SA,BR,BR-MS,Itaquiraí,0,SNWG,,,,,,50,2008-06-24T09:40:26+00:00
37494,SSHI,small_airport,"Fazenda Dom Francisco Airport",-23.251110076904297,-54.04833221435547,1237,SA,BR,BR-MS,Itaquiraí,0,SSHI,,,,,,50,2008-06-24T09:40:26+00:00
37504,SSHW,small_airport,"Fazenda Macaraí Airport",-23.417499542236328,-54.01250076293945,1056,SA,BR,BR-MS,Itaquiraí,0,SSHW,,,,,,50,2008-06-24T09:40:26+00:00
37542,SSKF,small_airport,"Porto Bonito Airport",-23.337499618530273,-53.869720458984375,1180,SA,BR,BR-MS,Itaquiraí,0,SSKF,,,,,,50,2008-06-24T09:40:26+00:00
246,SIZI,small_airport,"Fazenda Vitória Airport",-18.75279998779297,-51.47309875488281,1854,SA,BR,BR-GO,Itarumã,0,SIZI,,SIZI,,,,50,2008-06-24T09:40:26+00:00
36453,SJBZ,small_airport,"Fazenda Três Barras Airport",-18.95722198486328,-51.108612060546875,1411,SA,BR,BR-GO,Itarumã,0,SJBZ,,,,,,50,2008-06-24T09:40:26+00:00
36852,SJSM,small_airport,"Fazenda Santa Rita Airport",-19.00611114501953,-50.95222091674805,1451,SA,BR,BR-GO,Itarumã,0,SJSM,,,,,,50,2008-06-24T09:40:26+00:00
36536,SJFQ,small_airport,"Fazenda Quatrirmãs Airport",-22.959444046,-48.6747207642,2441,SA,BR,BR-SP,Itatinga,0,SJFQ,,,,,,50,2010-02-03T12:01:13+00:00
37026,SJZW,small_airport,"Fazenda Regina Airport",-23.286666870117188,-48.73805618286133,2044,SA,BR,BR-SP,Itatinga,0,SJZW,,,,,,50,2008-06-24T09:40:26+00:00
260,SJIT,small_airport,"Itaú de Minas Airport",-20.755300521850586,-46.75019836425781,2520,SA,BR,BR-MG,"Itaú De Minas",0,SJIT,,SJIT,,,,50,2008-06-24T09:40:26+00:00
36290,SIUH,small_airport,"Fazenda Santa Ana Airport",-11.139721870422363,-55.879722595214844,1038,SA,BR,BR-MT,Itaúba,0,SIUH,,,,,,50,2008-06-24T09:40:26+00:00
37945,SWKV,small_airport,"Fazenda Beira Rio Airport",-10.900833129882812,-55.858333587646484,1096,SA,BR,BR-MT,Itaúba,0,SWKV,,,,,,50,2008-06-24T09:40:26+00:00
36955,SJWT,small_airport,"Fazenda Sucuri Airport",-17.395832061767578,-54.75972366333008,1788,SA,BR,BR-MT,Itiquira,0,SJWT,,,,,,50,2008-06-24T09:40:26+00:00
37806,SWBX,small_airport,"Fazenda Santo Antônio do Paraíso Airport",-17.4911117554,-55.2283325195,650,SA,BR,BR-MT,Itiquira,0,SWBX,,,,,,50,2010-01-01T14:11:28+00:00
37909,SWIJ,small_airport,"Fazenda São Jorge Airport",-17.518056869506836,-54.82638931274414,1683,SA,BR,BR-MT,Itiquira,0,SWIJ,,,,,,50,2008-06-24T09:40:26+00:00
37916,SWIX,small_airport,"Fazenda Michelin Airport",-17.3741664886,-54.7350006104,1640,SA,BR,BR-MT,Itiquira,0,SWIX,,,,,,50,2010-02-04T09:46:40+00:00
