Time,CPU (%),RAM (%),TCP Out (MB)
2019.663342846271,0.14,12.7,0
2019.6633447488584,0.12,12.7,0
2019.6633466514459,0.42,12.72,0
2019.6633485540335,0.25,12.7,0
2019.663350456621,0.13,12.7,0
2019.6633523592086,0.12,12.7,0
2019.663354261796,0.12,12.7,0
2019.6633561643835,0.71,12.69,0
2019.663358066971,0.21,12.7,0
2019.6633599695585,0.2,12.7,0
2019.6633618721462,0.23,12.7,0
2019.6633637747336,0.19,12.7,0
2019.663365677321,0.43,12.7,0
2019.6633675799087,0.12,12.7,0
2019.6633694824961,0.1,12.7,0
2019.6633713850838,0.12,12.7,0
2019.6633732876712,0.29,12.7,0
2019.6633751902586,0.52,12.7,0
2019.6633770928463,0.17,12.7,0
2019.6633789954337,0.12,12.7,0
2019.6633808980214,0.18,12.71,0
2019.6633828006088,0.18,12.71,0
2019.6633847031962,0.56,12.7,0
2019.663386605784,0.15,12.71,0
2019.6633885083713,0.18,12.7,0
2019.663390410959,0.21,12.7,0
2019.6633923135464,0.18,12.7,0
2019.6633942161338,0.19,12.7,0
2019.6633961187215,0.32,12.71,0
2019.663398021309,0.12,12.7,0
2019.6633999238966,0.2,12.7,0
2019.663401826484,0.11,12.7,0
2019.6634037290714,0.29,12.69,0
2019.663405631659,0.23,12.71,0
2019.6634075342465,0.16,12.71,0
2019.6634094368342,2.74,12.7,0
2019.6634113394216,0.19,12.7,0
2019.663413242009,0.35,12.67,0
2019.6634151445967,0.28,12.68,0
2019.663417047184,0.23,12.67,0
2019.6634189497718,0.19,12.67,0
2019.6634208523592,0.17,12.67,0
2019.6634227549466,0.37,12.67,0
2019.6634246575343,0.55,12.69,0
2019.6634265601217,0.16,12.68,0
2019.6634284627094,0.13,12.68,0
2019.6634303652968,0.41,12.67,0
2019.6634322678842,0.28,12.69,0
2019.6634341704719,0.22,12.7,0
2019.6634360730593,0.15,12.69,0
2019.663437975647,0.14,12.69,0
2019.6634398782344,0.12,12.69,0
2019.6634417808218,0.29,12.69,0
2019.6634436834095,0.3,12.7,0
2019.663445585997,0.25,12.69,0
2019.6634474885846,0.09,12.69,0
2019.663449391172,0.07,12.69,0
2019.6634512937594,0.28,12.69,0
2019.663453196347,0.27,12.7,0
2019.6634550989345,0.17,12.7,0
2019.6634570015221,0.17,12.7,0
2019.6634589041096,0.2,12.7,0
2019.663460806697,0.24,12.68,0
2019.6634627092847,0.22,12.7,0
2019.663464611872,0.13,12.69,0
2019.6634665144597,0.1,12.69,0
2019.6634684170472,0.12,12.69,0
2019.6634703196346,0.42,12.69,0
2019.6634722222223,0.18,12.69,0
2019.6634741248097,0.34,12.7,0
2019.6634760273973,0.11,12.69,0
2019.6634779299848,0.19,12.69,0
2019.6634798325722,0.28,12.69,0
2019.6634817351598,0.16,12.69,0
2019.6634836377473,0.31,12.71,0
2019.663485540335,0.2,12.7,0
2019.6634874429224,0.38,12.69,0
2019.6634893455098,0.3,12.68,0
2019.6634912480974,0.19,12.68,0
2019.6634931506849,0.31,12.7,0
2019.6634950532725,0.12,12.69,0
2019.66349695586,0.09,12.69,0
2019.6634988584474,0.3,12.68,0
2019.663500761035,0.18,12.67,0
2019.6635026636225,0.33,12.71,0
2019.6635045662101,0.1,12.7,0
2019.6635064687976,0.16,12.7,0
2019.663508371385,0.34,12.67,0
2019.6635102739726,0.15,12.67,0
2019.66351217656,0.23,12.69,0
2019.6635140791477,0.13,12.71,0
2019.6635159817351,0.13,12.71,0
2019.6635178843226,0.21,12.69,0
2019.6635197869102,0.19,12.69,0
2019.6635216894977,0.31,12.7,0
2019.6635235920853,0.29,12.7,0
2019.6635254946727,0.14,12.7,0
2019.6635273972602,0.36,12.69,0
2019.6635292998478,0.18,12.69,0
2019.6635312024353,0.34,12.7,0
2019.663533105023,0.11,12.69,0
2019.6635350076103,0.14,12.69,0
2019.6635369101978,0.28,12.67,0
2019.6635388127854,0.12,12.67,0
2019.6635407153728,0.24,12.68,0
2019.6635426179605,0.11,12.7,0
2019.663544520548,0.31,12.69,0
2019.6635464231354,0.4,12.68,0
2019.663548325723,0.17,12.68,0
2019.6635502283104,0.13,12.68,0
2019.663552130898,0.34,12.71,0
2019.6635540334855,0.17,12.7,0
2019.663555936073,0.33,12.7,0
2019.6635578386606,0.15,12.69,0
2019.663559741248,0.16,12.69,0
2019.6635616438357,0.31,12.7,0
2019.6635635464231,0.18,12.7,0
2019.6635654490105,0.35,12.67,0
2019.6635673515982,0.17,12.67,0
2019.6635692541856,0.15,12.67,0
