COD_UF,SG_UF,NM_UF,NM_MICRO,NM_MESO,TP_MUNICIPIO,CD_MUNICIPIO,NM_MUNICIPIO,LONG,LAT,ALT
12,AC,ACRE,BRASILÉIA,VALE DO ACRE,URBANO,1200708,XAPURI,-6850629481,-1065207194,173281643
12,AC,ACRE,RIO BRANCO,VALE DO ACRE,URBANO,1200807,PORTO ACRE,-6754059008,-9600858231,134322793
13,AM,AMAZONAS,TEFÉ,CENTRO AMAZONENSE,URBANO,1300029,ALVARÃES,-6481353468,-3216583769,46116014
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1300060,AMATURÁ,-6820961464,-3366805188,73447708
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1300086,ANAMÃ,-6140590348,-3576370427,21613748
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1300102,ANORI,-6165895538,-3745385586,20346246
13,AM,AMAZONAS,MADEIRA,SUL AMAZONENSE,URBANO,1300144,APUÍ,-598856661,-7197870152,13298111
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1300201,ATALAIA DO NORTE,-7018798928,-436615749,76016638
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301506,ENVIRA,-7003041254,-7439817544,137396301
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1301605,FONTE BOA,-6609650299,-2512270685,58147019
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301654,GUAJARÁ,-7258243054,-7547774415,182751246
13,AM,AMAZONAS,MADEIRA,SUL AMAZONENSE,URBANO,1301704,HUMAITÁ,-6302669802,-7512224951,55017452
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301803,IPIXUNA,-7169441806,-7050980114,156327962
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1301852,IRANDUBA,-6019338817,-3281053878,43223118
13,AM,AMAZONAS,ITACOATIARA,CENTRO AMAZONENSE,URBANO,1301902,ITACOATIARA,-5844017544,-3140378804,21659418
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301951,ITAMARATI,-6824791744,-6437799349,112652164
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1300300,AUTAZES,-5913356709,-3578663642,20491551
13,AM,AMAZONAS,RIO NEGRO,NORTE AMAZONENSE,URBANO,1300409,BARCELOS,-6292566966,-972801053,3536196
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1300508,BARREIRINHA,-5706775049,-2798149837,11234609
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1300607,BENJAMIN CONSTANT,-7002734843,-4374989019,69803811
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1300631,BERURI,-6137157089,-389451341,22862003
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1300680,BOA VISTA DO RAMOS,-5758770735,-2971726532,23018048
13,AM,AMAZONAS,BOCA DO ACRE,SUL AMAZONENSE,URBANO,1300706,BOCA DO ACRE,-6739957776,-8751243196,106766033
13,AM,AMAZONAS,MADEIRA,SUL AMAZONENSE,URBANO,1300805,BORBA,-5959455902,-4390619891,29014905
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1300839,CAAPIRANGA,-6121133413,-3330093392,2016684
13,AM,AMAZONAS,PURUS,SUL AMAZONENSE,URBANO,1300904,CANUTAMA,-6439423082,-6529106076,52008963
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301001,CARAUARI,-6689663528,-4881665904,6615796
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1301100,CAREIRO,-6036380984,-382244727,25175384
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1301159,CAREIRO DA VÁRZEA,-5982631406,-3197396595,19228559
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1301209,COARI,-6314218398,-4084219159,37939947
13,AM,AMAZONAS,COARI,CENTRO AMAZONENSE,URBANO,1301308,CODAJÁS,-6206342966,-3843045933,28155367
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1301407,EIRUNEPÉ,-6986629026,-6667352567,122174399
13,AM,AMAZONAS,ITACOATIARA,CENTRO AMAZONENSE,URBANO,1302009,ITAPIRANGA,-5803454588,-2741842752,69268709
13,AM,AMAZONAS,JAPURÁ,NORTE AMAZONENSE,URBANO,1302108,JAPURÁ,-6699690349,-1880844859,69840525
13,AM,AMAZONAS,JURUÁ,SUDOESTE AMAZONENSE,URBANO,1302207,JURUÁ,-6606304193,-3474889599,64379174
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1302306,JUTAÍ,-6677132755,-2744646447,62144425
13,AM,AMAZONAS,PURUS,SUL AMAZONENSE,URBANO,1302405,LÁBREA,-6479477303,-7261946553,57507314
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1302504,MANACAPURU,-6062058945,-3298278035,26965542
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1302553,MANAQUIRI,-6045888131,-3429079669,29481121
13,AM,AMAZONAS,MANAUS,CENTRO AMAZONENSE,URBANO,1302603,MANAUS,-6002333518,-3134691491,34356331
13,AM,AMAZONAS,MADEIRA,SUL AMAZONENSE,URBANO,1302702,MANICORÉ,-6129924841,-5813205261,44346313
13,AM,AMAZONAS,JAPURÁ,NORTE AMAZONENSE,URBANO,1302801,MARAÃ,-655742837,-1866436877,47135937
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1302900,MAUÉS,-5771503439,-3386427926,24058942
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1303007,NHAMUNDÁ,-5671676991,-2188983767,1
13,AM,AMAZONAS,ITACOATIARA,CENTRO AMAZONENSE,URBANO,1303106,NOVA OLINDA DO NORTE,-5909307403,-3887592832,12073148
13,AM,AMAZONAS,RIO NEGRO,NORTE AMAZONENSE,URBANO,1303205,NOVO AIRÃO,-6094881071,-2623432459,2179964
13,AM,AMAZONAS,MADEIRA,SUL AMAZONENSE,URBANO,1303304,NOVO ARIPUANÃ,-6037704567,-5122669314,29063563
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1303403,PARINTINS,-5673629215,-2627052586,17327756
13,AM,AMAZONAS,BOCA DO ACRE,SUL AMAZONENSE,URBANO,1303502,PAUINI,-6700209749,-7714043644,118458317
13,AM,AMAZONAS,RIO PRETO DA EVA,CENTRO AMAZONENSE,URBANO,1303536,PRESIDENTE FIGUEIREDO,-6002564683,-2058429085,58287098
13,AM,AMAZONAS,RIO PRETO DA EVA,CENTRO AMAZONENSE,URBANO,1303569,RIO PRETO DA EVA,-5970473809,-2693301542,34737296
13,AM,AMAZONAS,RIO NEGRO,NORTE AMAZONENSE,URBANO,1303601,SANTA ISABEL DO RIO NEGRO,-6502002264,-416694832,34120877
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1303700,SANTO ANTÔNIO DO IÇÁ,-6794648514,-3107486309,67357928
13,AM,AMAZONAS,RIO NEGRO,NORTE AMAZONENSE,URBANO,1303809,SÃO GABRIEL DA CACHOEIRA,-670836429,-136462788,61510476
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1303908,SÃO PAULO DE OLIVENÇA,-6894485349,-3466509623,86623249
13,AM,AMAZONAS,PARINTINS,CENTRO AMAZONENSE,URBANO,1303957,SÃO SEBASTIÃO DO UATUMÃ,-5787034636,-257015258,16938658
13,AM,AMAZONAS,ITACOATIARA,CENTRO AMAZONENSE,URBANO,1304005,SILVES,-5821480086,-283642743,64017729
13,AM,AMAZONAS,ALTO SOLIMÕES,SUDOESTE AMAZONENSE,URBANO,1304062,TABATINGA,-6994624438,-4231883676,63
15,PA,PARÁ,ALMEIRIM,BAIXO AMAZONAS,URBANO,1500503,ALMEIRIM,-5257683509,-1527338803,18728788
15,PA,PARÁ,ALTAMIRA,SUDOESTE PARAENSE,URBANO,1500602,ALTAMIRA,-5221437631,-320565951,104748288
15,PA,PARÁ,FUROS DE BREVES,MARAJÓ,URBANO,1500701,ANAJÁS,-4994500104,-984451394,5001054
15,PA,PARÁ,BELÉM,METROPOLITANA DE BELÉM,URBANO,1500800,ANANINDEUA,-4837206665,-1368713568,26564442
15,PA,PARÁ,ALTAMIRA,SUDOESTE PARAENSE,URBANO,1500859,ANAPU,-512016218,-3476104635,5630874
15,PA,PARÁ,BRAGANTINA,NORDESTE PARAENSE,URBANO,1500909,AUGUSTO CORRÊA,-4664164579,-102292101,15987763
15,PA,PARÁ,GUAMÁ,NORDESTE PARAENSE,URBANO,1500958,AURORA DO PARÁ,-475561746,-2129376013,41368894
15,PA,PARÁ,ITAITUBA,SUDOESTE PARAENSE,URBANO,1501006,AVEIRO,-5533073439,-3605595259,15451251
15,PA,PARÁ,PORTEL,MARAJÓ,URBANO,1501105,BAGRE,-5022198692,-188980806,161555
15,PA,PARÁ,CAMETÁ,NORDESTE PARAENSE,URBANO,1501204,BAIÃO,-4967275337,-2791961861,30562405
13,AM,AMAZONAS,PURUS,SUL AMAZONENSE,URBANO,1304104,TAPAUÁ,-6318709487,-5624223518,50653389
13,AM,AMAZONAS,TEFÉ,CENTRO AMAZONENSE,URBANO,1304203,TEFÉ,-6470841966,-3348372494,46584182
