"geo","time","agriculture_percent_of_gdp","co2_emissions_tonnes_per_person","crude_birth_rate_births_per_1000_population","crude_death_rate_deaths_per_1000_population","exports_percent_of_gdp","gdppercapita_us_inflation_adjusted","imports_percent_of_gdp","life_expectancy_years","population_density_per_square_km","population_total"
"nld",1969,5.92995,9.01674,18.06,8.207,42.45681,23343.46173,42.17233,73.65,381.22797,12855007
"nld",1970,5.10622,10.91644,17.31,8.246,43.43649,24369.03026,43.44737,73.72,385.5855,13001943
"nld",1971,4.74486,10.71462,16.53,8.268,43.70221,25120.53664,42.10514,73.83,389.91495,13147932
"nld",1972,4.69052,11.87152,15.75,8.273,43.65921,25746.60153,39.45842,73.92,394.18366,13291873
"nld",1973,4.62033,12.33292,15.01,8.262,45.72389,26924.62419,40.88031,74.19,398.31501,13431182
"nld",1974,3.99241,11.83017,14.32,8.239,50.72497,27633.08251,45.80557,74.49,402.20753,13562438
"nld",1975,4.2749,11.183,13.72,8.207,47.81304,27388.41417,43.10013,74.65,405.79155,13683291
"nld",1976,4.26899,12.30202,13.22,8.172,48.88716,28385.22768,44.36636,74.85,409.04834,13793110
"nld",1977,3.6156,11.82458,12.82,8.14,46.25765,28928.1338,43.87432,75.16,412.00821,13892917
"nld",1978,3.49001,12.19592,12.52,8.116,44.16402,29525.88536,42.71015,75.3,414.71115,13984060
"nld",1979,3.45617,13.34979,12.3,8.104,48.18742,29913.38466,46.84188,75.59,417.21806,14068593
"nld",1980,3.40395,12.54617,12.18,8.108,50.76422,30075.85265,49.57186,75.81,419.58526,14148415
"nld",1981,3.82086,11.59724,12.14,8.127,55.26754,29636.15785,50.14614,75.98,421.81978,14223763
"nld",1982,3.92694,9.3963,12.16,8.159,55.27822,29134.53912,49.76873,76.1,423.93882,14295217
"nld",1983,3.7567,9.62431,12.22,8.202,54.96408,29625.05368,50.39329,76.22,426.01972,14365385
"nld",1984,3.73323,10.04713,12.31,8.253,58.7964,30411.12599,52.31722,76.31,428.15854,14437506
"nld",1985,3.75408,10.19356,12.41,8.309,60.31291,31050.65216,54.75889,76.37,430.42553,14513949
"nld",1986,3.87624,9.94096,12.51,8.368,51.13197,31739.39645,46.49984,76.44,432.85157,14595755
"nld",1987,3.83046,10.39112,12.61,8.429,49.78778,32147.72856,46.37645,76.68,435.4285,14682649
"nld",1988,3.78398,9.94411,12.7,8.487,52.08987,33039.84199,48.4099,76.86,438.13873,14774038
"nld",1989,4.09499,10.96944,12.77,8.542,55.40707,34293.89214,51.17608,76.88,440.94469,14868655
"nld",1990,3.96439,10.58461,12.82,8.591,54.78559,35483.2995,49.78264,76.98,443.81518,14965448
"nld",1991,3.85397,10.96313,12.84,8.635,55.48459,36063.47085,50.16567,77.12,446.75323,15064519
"nld",1992,3.59493,10.69668,12.82,8.674,53.73983,36402.47289,48.78433,77.21,449.75866,15165862
"nld",1993,3.14795,10.79396,12.79,8.708,52.97064,36604.23348,46.48218,77.2,452.78784,15268006
"nld",1994,3.17444,10.75683,12.73,8.737,55.10868,37461.56616,48.37446,77.37,455.78648,15369120
"nld",1995,3.06724,11.54874,12.67,8.761,57.61094,38438.55384,50.76489,77.48,458.71444,15467851
"nld",1996,2.8305,11.94141,12.61,8.779,57.64568,39626.29266,51.48315,77.62,461.54374,15563255
"nld",1997,2.92415,11.38972,12.55,8.791,60.68155,41117.96329,54.20113,77.83,464.27862,15655475
"nld",1998,2.51159,11.33265,12.51,8.797,59.73441,42714.51301,53.61057,77.93,466.95276,15745647
"nld",1999,2.27631,10.96683,12.47,8.794,60.24038,44574.68846,54.89589,77.96,469.61812,15835523
"nld",2000,2.2401,10.89426,12.43,8.778,66.49296,46133.17635,59.95902,78.06,472.30688,15926188
"nld",2001,2.16952,11.03709,12.37,8.745,63.82348,46758.87675,57.16306,78.22,475.03304,16018114
"nld",2002,2.02224,11.27617,12.29,8.693,60.75074,46509.51714,53.95965,78.4,477.76853,16110355
"nld",2003,2.0013,11.24662,12.16,8.624,59.70936,46422.02485,52.9454,78.67,480.45525,16200951
"nld",2004,1.79887,11.3485,11.99,8.543,63.53583,47200.42469,55.61239,79.08,483.01251,16287182
"nld",2005,1.78993,11.08805,11.8,8.456,66.61657,48107.58549,57.93728,79.42,485.38428,16367158
"nld",2006,1.88221,10.9268,11.59,8.371,69.27895,49720.39486,60.54692,79.78,487.55107,16440222
"nld",2007,1.7545,10.70395,11.37,8.297,70.27361,51447.25959,61.44828,80.11,489.5331,16507056
"nld",2008,1.58004,10.68402,11.16,8.241,71.6426,52118.09256,63.01601,80.33,491.36222,16568734
"nld",2009,1.48849,10.36698,10.97,8.207,63.15445,49897.22517,55.82602,80.54,493.08796,16626926
"nld",2010,1.71462,10.97248,10.81,8.199,71.95398,50338.25483,63.59103,80.73,494.74843,16682917
"nld",2011,1.50825,10.40615,10.69,8.217,77.35644,50937.55294,68.81677,80.92,496.35237,16737002
"nld",2012,1.58487,10.14409,10.6,8.257,81.93622,50212.96411,72.33463,81.06,497.89724,16789095
"nld",2013,1.71552,10.28847,10.54,8.314,82.01021,49969.85027,71.3142,81.29,499.39795,16839699
"nld",2014,1.6585,9.90584,10.5,8.385,82.56537,50497.2368,71.72312,81.48,500.87058,16889356
"nor",1970,5.10106,7.22698,16.27,9.926,36.47657,32267.07968,37.09931,74.03,10.61155,3876060
"nor",1971,5.07498,6.96447,15.88,9.966,34.77264,33859.12725,37.31304,74.19,10.69152,3905269
"nor",1972,4.58719,7.48087,15.42,9.998,34.9513,35392.30206,34.19492,74.38,10.76942,3933725
"nor",1973,4.44554,7.70655,14.94,10.021,37.40764,36738.73103,37.7917,74.55,10.84355,3960802
"nor",1974,4.39357,6.94898,14.45,10.035,39.85729,37943.88496,42.53918,74.74,10.91183,3985741
"nor",1975,4.11582,7.40348,13.96,10.043,36.10204,39603.70655,41.88503,74.85,10.97285,4008031
"nor",1976,4.40396,7.27942,13.51,10.048,35.97051,41714.73325,44.32819,75.04,11.02608,4027475
"nor",1977,4.43458,7.68248,13.11,10.054,34.28551,43267.12577,43.38637,75.29,11.07223,4044330
"nor",1978,4.22899,8.57131,12.77,10.066,35.98291,44770.02104,35.62127,75.45,11.11289,4059183
"nor",1979,3.7801,8.40745,12.51,10.086,39.25305,46568.72734,36.92352,75.55,11.15036,4072868
"nor",1980,3.62606,9.31271,12.34,10.119,42.75431,48538.24402,36.72972,75.75,11.18652,4086076
"nor",1981,3.61932,9.83897,12.27,10.168,42.78176,49144.62619,35.57846,75.92,11.22182,4098973
"nor",1982,3.41878,9.98431,12.29,10.232,40.95567,49079.69043,35.89835,76.04,11.25655,4111657
"nor",1983,2.95959,9.09152,12.37,10.307,41.26701,50860.85516,33.48152,76.13,11.29194,4124585
"nor",1984,3.07096,9.77656,12.52,10.39,42.2602,53787.17731,33.51603,76.2,11.3294,4138268
"nor",1985,2.85952,9.80344,12.71,10.473,41.98047,56604.38225,34.76072,76.15,11.37002,4153105
"nor",1986,3.12865,11.29127,12.93,10.548,33.58715,58682.8271,36.97185,76.22,11.41442,4169322
"nor",1987,3.19653,9.7224,13.16,10.609,31.76216,59432.93047,33.97141,76.25,11.46273,4186968
"nor",1988,3.0859,10.10046,13.38,10.651,32.46186,58963.13546,33.04582,76.44,11.51474,4205966
"nor",1989,2.90516,11.68443,13.58,10.669,37.32105,59329.91633,33.84295,76.68,11.56992,4226122
"nor",1990,2.98402,7.41898,13.74,10.662,39.41949,60268.65794,33.17006,76.85,11.62786,4247285
"nor",1991,2.91069,7.5127,13.85,10.631,39.20302,61832.41296,31.47299,77.12,11.6886,4269471
"nor",1992,2.62774,7.4567,13.91,10.581,37.13659,63673.97649,30.53107,77.27,11.75215,4292683
"nor",1993,2.60942,8.14221,13.92,10.516,37.15817,65097.06757,30.89081,77.4,11.81814,4316788
"nor",1994,2.60364,7.80932,13.89,10.439,37.33727,67999.73271,31.39116,77.69,11.88611,4341615
"nor",1995,2.58959,7.6573,13.81,10.353,37.18317,70457.6931,31.14334,77.93,11.95559,4366995
"nor",1996,2.22717,7.59491,13.68,10.26,39.94294,73626.15776,31.17857,78.18,12.02736,4393209
"nor",1997,2.06182,8.1673,13.5,10.161,40.55781,77097.89258,32.50576,78.32,12.10142,4420262
"nor",1998,2.2642,8.49411,13.3,10.058,36.90766,78651.55088,35.11424,78.4,12.17595,4447486
"nor",1999,2.05183,9.09291,13.09,9.95,38.6043,79687.50824,31.40363,78.5,12.24855,4474004
"nor",2000,1.82229,8.81752,12.88,9.838,45.71407,81709.66294,28.90769,78.71,12.31799,4499367
"nor",2001,1.58841,9.26571,12.72,9.72,44.95429,82992.53186,28.31211,78.91,12.38309,4523145
"nor",2002,1.52155,8.36405,12.6,9.596,40.39499,83732.93894,27.25203,79.11,12.44571,4546019
"nor",2003,1.30865,9.89505,12.53,9.465,39.64855,84008.9617,26.93514,79.46,12.51165,4570106
"nor",2004,1.38728,9.27473,12.51,9.328,41.11486,86820.34131,27.93414,79.82,12.5886,4598214
"nor",2005,1.40416,9.16124,12.53,9.186,43.42535,88494.36433,27.42544,80.11,12.6821,4632364
"nor",2006,1.40508,9.47065,12.53,9.041,44.66481,89887.01952,27.72386,80.35,12.79354,4673070
"nor",2007,1.23942,9.55356,12.51,8.894,43.28276,91617.27915,29.87491,80.52,12.92106,4719648
"nor",2008,1.12726,11.67176,12.45,8.75,45.88649,90917.54176,28.95358,80.69,13.06276,4771409
"nor",2009,1.29887,11.4655,12.33,8.611,39.19183,88259.96772,27.78803,80.86,13.21545,4827180
"nor",2010,1.56724,12.30194,12.19,8.48,39.7252,87770.26684,28.46489,81.04,13.37615,4885878
"nor",2011,1.34318,9.1349,12.03,8.36,41.22861,87481.14835,28.36822,81.23,13.54511,4947595
"nor",2012,1.12635,9.954,11.9,8.252,40.57434,88689.49096,27.54178,81.48,13.72145,5012007
"nor",2013,1.31345,11.45581,11.81,8.156,39.13876,88538.69765,28.35444,81.73,13.89966,5077101
"nor",2014,1.44016,9.26539,11.77,8.073,38.78287,89274.95614,29.78328,82.01,14.07271,5140311
"npl",1965,64.58408,0.01646,43.5,25.249,7.76508,276.85307,13.9236,46.41,76.13341,10913724
"npl",1966,68.69301,0.01716,43.32,24.708,5.64481,291.11293,8.75669,46.92,77.50181,11109884
"npl",1967,66.23538,0.01879,43.17,24.167,6.87451,281.2984,6.95246,47.43,78.94542,11316826
"npl",1968,67.3916,0.02194,43.03,23.636,6.84511,277.85981,7.50035,47.94,80.46225,11534264
"npl",1969,66.42455,0.03398,42.9,23.12,7.01315,284.65456,10.21916,48.46,82.04725,11761473
"npl",1970,66.86816,0.01895,42.78,22.626,4.9042,286.23274,8.30292,48.98,83.69675,11997929
"npl",1971,66.83822,0.01617,42.69,22.155,5.40389,277.13268,9.12956,49.35,85.41171,12243768
"npl",1972,67.84646,0.02142,42.61,21.703,5.6611,279.92797,7.91783,49.65,87.19518,12499429
"npl",1973,65.33253,0.03304,42.55,21.263,6.61049,272.79889,10.37215,49.94,89.04749,12764957
"npl",1974,68.41818,0.03262,42.49,20.832,5.44972,283.94968,10.5481,50.27,90.96899,13040404
"npl",1975,69.00609,0.02642,42.44,20.403,8.90109,281.91516,13.36673,50.57,92.95999,13325814
"npl",1976,66.08601,0.02073,42.38,19.971,10.77383,287.93476,14.1773,50.89,95.01995,13621110
"npl",1977,60.12153,0.02423,42.3,19.531,11.78819,290.12214,14.31713,51.27,97.14866,13926260
"npl",1978,58.86884,0.02317,42.2,19.079,10.57166,296.20132,15.47233,51.64,99.34707,14241403
"npl",1979,60.16205,0.03524,42.05,18.612,11.78483,296.44682,15.96669,52.09,101.61626,14566691
"npl",1980,57.89902,0.03642,41.87,18.131,11.54126,283.05233,18.73153,52.44,103.95649,14902163
"npl",1981,56.79862,0.02982,41.66,17.636,12.90145,299.68923,19.61768,52.8,106.37607,15249010
"npl",1982,57.16729,0.02843,41.41,17.132,11.59158,303.87701,18.80728,53.36,108.87503,15607236
"npl",1983,56.52251,0.03099,41.14,16.623,10.23104,288.05248,21.31517,53.79,111.43648,15974420
"npl",1984,57.29881,0.04307,40.85,16.11,10.65245,308.73378,19.4491,54.3,114.03727,16347242
"npl",1985,48.85803,0.04056,40.53,15.593,11.52921,320.32348,19.99957,54.88,116.6652,16723956
"npl",1986,48.69715,0.04117,40.19,15.069,11.6623,327.56076,20.30274,55.45,119.29638,17101136
"npl",1987,47.95033,0.04993,39.82,14.538,11.81328,325.87779,20.90661,55.97,121.94573,17480921
"npl",1988,47.79211,0.0556,39.42,14.001,11.44717,343.24818,22.38187,56.46,124.6855,17873667
"npl",1989,47.68957,0.04991,39,13.462,11.0676,349.89079,22.28332,57.16,127.61433,18293514
"npl",1990,48.80289,0.03384,38.55,12.925,10.52731,357.20643,21.66145,57.7,130.7946,18749406
"npl",1991,44.72339,0.04992,38.08,12.394,11.49075,370.16833,23.1843,58.25,134.25221,19245054
"npl",1992,42.66526,0.06732,37.59,11.874,15.95973,375.06481,25.73569,59.08,137.94051,19773772
"npl",1993,39.89595,0.07218,37.09,11.37,18.43296,379.01195,28.75662,59.28,141.75916,20321175
"npl",1994,40.44171,0.08136,36.56,10.886,18.99394,399.42062,31.43813,60.01,145.5677,20867130
"npl",1995,39.04141,0.09512,35.99,10.426,24.97316,403.05172,34.51736,60.58,149.25974,21396384
"npl",1996,38.92766,0.11351,35.36,9.992,22.81758,414.70097,35.64019,61.32,152.79651,21903379
"npl",1997,38.78073,0.12431,34.66,9.582,26.32784,426.17328,37.7077,62.05,156.18977,22389803
"npl",1998,37.39301,0.09851,33.88,9.197,22.82205,430.06766,33.88755,62.55,159.44405,22856305
"npl",1999,38.70148,0.13815,33.04,8.838,22.84847,440.3804,29.71851,63.16,162.58105,23305994
"npl",2000,38.2439,0.12928,32.14,8.507,23.284,459.11634,32.42659,63.7,165.61501,23740911
"npl",2001,35.24763,0.13523,31.2,8.208,22.56075,472.77179,33.23911,64.31,168.55094,24161777
"npl",2002,36.1503,0.10688,30.25,7.938,17.73713,465.54529,28.49359,64.39,171.37316,24566342
"npl",2003,35.10588,0.1139,29.3,7.698,15.69986,476.45819,28.54802,65.24,174.05388,24950623
"npl",2004,34.67636,0.10548,28.37,7.486,16.6827,491.69751,29.46459,65.56,176.55702,25309449
"npl",2005,33.8249,0.12028,27.45,7.3,14.58369,502.23943,29.47926,66.02,178.86493,25640287
"npl",2006,32.36649,0.09881,26.53,7.139,13.44659,513.12746,31.3154,66.48,180.96001,25940618
"npl",2007,31.16441,0.09974,25.61,6.998,12.85566,525.08225,31.72361,66.91,182.87302,26214847
"npl",2008,30.30572,0.12922,24.68,6.875,12.77582,551.6441,33.26039,67.33,184.69382,26475859
"npl",2009,31.32265,0.16209,23.76,6.767,12.41935,570.93079,34.66009,67.79,186.54414,26741103
"npl",2010,33.17938,0.18713,22.89,6.67,9.58254,592.18352,36.40237,68.26,188.51159,27023137
"npl",2011,34.97916,0.20249,22.12,6.584,8.90403,605.63365,32.92422,68.72,190.63235,27327147
"npl",2012,33.148,0.2118,21.45,6.508,10.07389,627.18212,33.58431,69.2,192.88403,27649925
"npl",2013,31.5346,0.23717,20.92,6.441,10.68908,645.25101,37.45693,69.63,195.22365,27985310
"npl",2014,30.26715,0.28354,20.52,6.382,11.50509,675.73529,40.75011,70.01,197.58103,28323241
"nzl",1971,11.88841,5.24601,21.49,8.329,22.06009,20656.40023,21.27325,71.74,10.90282,2870822
"nzl",1972,13.50248,5.52863,20.99,8.294,23.82426,21333.22046,20.85396,71.79,11.12638,2929686
"nzl",1973,12.25296,6.08916,20.39,8.256,23.59791,22551.50626,23.44835,71.92,11.35319,2989409
"nzl",1974,8.86994,6.16555,19.69,8.216,20.43517,23409.8294,32.62766,72.06,11.55359,3042177
"nzl",1975,10.61185,5.92405,18.94,8.174,22.86633,22561.23431,29.72362,72.17,11.70724,3082633
"nzl",1976,11.95248,6.1884,18.18,8.136,26.66762,22570.20086,29.2442,72.34,11.80574,3108570
"nzl",1977,10.91466,6.50156,17.47,8.102,26.10583,21614.35777,27.70792,72.52,11.85829,3122406
"nzl",1978,10.06176,5.75548,16.87,8.076,26.52442,21676.15931,25.78327,72.83,11.88316,3128956
"nzl",1979,12.35764,5.25495,16.39,8.06,28.83773,22238.18203,30.40008,72.82,11.90725,3135297
"nzl",1980,10.98466,5.54836,16.07,8.056,28.92279,22495.56419,30.01084,73.19,11.95024,3146619
"nzl",1981,9.67342,5.22214,15.9,8.068,28.21414,23452.25014,31.26981,73.54,12.0194,3164828
"nzl",1982,8.42159,5.72038,15.85,8.093,27.52947,23436.38751,30.47927,73.79,12.10945,3188539
"nzl",1983,8.58186,5.58649,15.89,8.128,28.20712,23927.31628,29.37482,73.94,12.21271,3215729
"nzl",1984,9.57769,5.9499,16,8.166,31.46482,24858.1523,34.0143,74.13,12.31642,3243036
"nzl",1985,8.85217,6.67148,16.14,8.195,28.98583,25103.94523,31.0974,74.12,12.41212,3268236
"nzl",1986,7.31627,6.95774,16.31,8.202,26.6371,25789.56174,26.13325,74.22,12.49593,3290304
"nzl",1987,7.50533,7.28251,16.48,8.179,26.14667,24465.96857,23.90627,74.45,12.57356,3310743
"nzl",1988,7.70941,7.62053,16.63,8.123,26.01093,24887.86738,22.05641,74.73,12.65729,3332792
"nzl",1989,7.92524,7.55885,16.74,8.036,26.20084,24898.94207,25.48268,75.14,12.76426,3360957
"nzl",1990,7.58334,6.92896,16.78,7.928,26.7478,24830.3943,25.83271,75.64,12.90559,3398172
"nzl",1991,8.36733,6.98888,16.73,7.811,29.15405,23267.48489,25.46785,75.97,13.08788,3446170
"nzl",1992,8.24171,7.15986,16.6,7.7,31.20203,23317.98565,28.05169,76.25,13.3044,3503181
"nzl",1993,8.713,7.48736,16.39,7.606,30.64409,24559.66983,26.98792,76.55,13.53714,3564464
"nzl",1994,7.74212,7.3638,16.13,7.533,30.86775,25499.58554,28.11805,76.76,13.76051,3623279
"nzl",1995,7.57209,7.38302,15.82,7.48,29.39367,26279.10376,27.52117,76.96,13.95669,3674936
"nzl",1996,7.67253,7.70521,15.49,7.44,28.34888,26735.05261,26.76729,77.15,14.11777,3717349
"nzl",1997,7.26907,8.26754,15.15,7.404,28.32064,27180.29549,26.92675,77.54,14.25074,3752362
"nzl",1998,7.01414,7.93585,14.84,7.363,29.61704,27227.40963,28.27843,77.92,14.37079,3783974
"nzl",1999,7.33381,8.54868,14.58,7.314,30.95055,28491.4184,30.45068,78.17,14.50052,3818131
"nzl",2000,8.90619,8.54652,14.39,7.257,35.74576,28972.97624,32.77174,78.51,14.65573,3858999
"nzl",2001,9.08695,8.81484,14.3,7.191,35.43104,29896.57091,31.80278,78.66,14.84157,3907933
"nzl",2002,6.9455,8.37731,14.29,7.122,32.84707,30868.58816,29.80892,78.95,15.05148,3963206
"nzl",2003,6.64558,8.47352,14.35,7.055,29.83973,31639.47936,28.07504,79.21,15.27503,4022069
"nzl",2004,6.35748,8.46824,14.47,6.991,29.5436,32191.95726,29.25633,79.47,15.49671,4080438
"nzl",2005,5.62249,8.25558,14.6,6.935,28.28551,32887.05461,29.73394,79.83,15.70527,4135355
"nzl",2006,6.17214,7.99029,14.71,6.889,29.59003,33324.50326,29.97583,79.99,15.8973,4185917
"nzl",2007,8.09116,7.94618,14.76,6.855,29.24601,34256.7377,29.12505,80.18,16.07668,4233151
"nzl",2008,7.24197,7.99428,14.73,6.833,32.04301,33442.25803,32.29405,80.33,16.24824,4278325
"nzl",2009,7.87847,7.49094,14.61,6.822,28.74219,33743.99323,26.41943,80.6,16.41974,4323482
"nzl",2010,8.64113,7.27264,14.41,6.821,30.25994,33692.01083,27.96534,80.9,16.59664,4370062
"nzl",2011,8.1565,7.13006,14.15,6.829,30.36424,34337.46265,28.81622,80.96,16.78009,4418365
"nzl",2012,7.23725,7.64385,13.88,6.842,28.86165,35003.27667,28.16592,81.22,16.96762,4467743
"nzl",2013,8.57573,7.4062,13.62,6.857,28.8001,35436.32332,27.22044,81.46,17.15669,4517527
"nzl",2014,6.26533,7.59063,13.39,6.875,27.88084,36142.52008,27.15264,81.52,17.34344,4566700
"omn",1967,36.85567,0.20554,48.55,18.071,33.76289,3891.63745,22.42268,48.48,2.13286,660119
"omn",1968,19.18679,0.23742,48.38,17.504,70.13977,6875.53847,14.73952,49.2,2.19579,679597
"omn",1969,16.1,0.33492,48.21,16.942,74.6,8379.7089,11.9,49.93,2.26405,700725
"omn",1970,15.54307,0.32422,48.09,16.376,73.68914,9239.1452,19.66292,50.67,2.33878,723852
"omn",1971,13.42926,2.79564,48.09,15.798,65.78737,9009.46362,32.13429,52.12,2.41995,748973
"omn",1972,12.07386,2.69222,48.2,15.202,59.375,9545.33509,43.75,52.8,2.50851,776383
"omn",1973,9.85832,2.61737,48.44,14.586,67.82763,7874.48593,55.19481,53.84,2.6074,806991
"omn",1974,3.23659,2.77437,48.78,13.95,73.72035,8415.42108,47.75726,55.09,2.72035,841948
"omn",1975,2.78929,8.22747,49.17,13.298,67.5504,9995.58456,50.69045,56.32,2.8499,882044
"omn",1976,2.06943,8.9793,49.55,12.635,62.33179,11458.94732,45.96857,58.27,2.99657,927439
"omn",1977,2.54542,8.70052,49.85,11.969,58.30164,10978.14347,44.04308,59.19,3.15932,977808
"omn",1978,3.24353,7.54845,50,11.312,58.32012,10009.71515,48.72687,60.48,3.337,1032800
"omn",1979,3.12524,7.07302,49.97,10.672,61.06242,9878.48247,40.71345,61.53,3.5278,1091853
"omn",1980,2.54586,5.23821,49.74,10.054,62.65911,9907.33954,37.65549,62.6,3.72982,1154379
"omn",1981,2.47677,4.93004,49.32,9.463,64.68711,10967.23886,38.08878,63.65,3.94374,1220587
"omn",1982,2.53315,4.4455,48.74,8.9,58.54602,11576.72627,43.15168,64.69,4.16837,1290111
"omn",1983,2.93806,5.53378,48.03,8.365,53.6516,12801.78622,38.06708,65.74,4.39773,1361097
"omn",1984,2.921,5.63217,47.18,7.861,50.28061,14210.54211,37.57918,66.69,4.62384,1431077
"omn",1985,2.77207,5.7804,46.17,7.39,49.82783,15472.95366,37.18279,67.64,4.84141,1498417
"omn",1986,3.42782,6.32547,44.95,6.951,39.24652,15148.19594,40.92647,68.45,5.04422,1561185
"omn",1987,3.50936,5.84279,43.52,6.543,48.87794,14097.12207,29.06705,69.1,5.23381,1619864
"omn",1988,3.83315,6.30864,41.9,6.162,40.0062,14419.34368,31.3537,69.63,5.42202,1678116
"omn",1990,2.5863,6.28313,38.25,5.483,47.23007,14903.15877,27.5991,70.7,5.85512,1812160
"omn",1991,2.63254,6.21568,36.35,5.185,43.06549,15127.1347,34.74133,71.2,6.11881,1893771
"omn",1992,2.33505,6.09047,34.51,4.912,44.71689,15659.78021,35.54794,71.7,6.408,1983277
"omn",1993,2.39612,6.49477,32.77,4.666,43.05105,15894.17039,38.05479,72.16,6.69503,2072111
"omn",1994,2.53256,7.12431,31.18,4.443,43.00123,15923.71335,34.78751,72.52,6.94161,2148428
"omn",1995,2.77553,7.21162,29.75,4.242,44.03535,16295.7348,35.55614,72.88,7.12208,2204283
"omn",1996,2.50413,6.75307,28.47,4.062,49.81019,16548.97305,35.76596,73.25,7.22671,2236666
"omn",1997,2.61926,6.88325,27.29,3.902,50.03695,17445.22727,38.59102,73.63,7.26906,2249773
"omn",1998,2.82875,7.35395,26.19,3.76,41.96959,17889.47471,49.72464,73.98,7.27585,2251875
"omn",1999,2.63221,9.18328,25.16,3.633,48.6876,17843.03579,37.56279,74.3,7.28568,2254918
"omn",2000,2.24249,9.65421,24.24,3.518,53.68904,18698.39975,25.90459,74.55,7.32792,2267991
"omn",2001,2.33444,8.83997,23.43,3.413,51.7027,19308.42061,29.3343,74.78,7.4145,2294787
"omn",2002,2.32024,10.91168,22.77,3.318,49.10328,18772.80037,27.91514,75,7.54212,2334285
"omn",2003,2.20601,13.57952,22.26,3.232,49.75836,17881.31476,32.79556,75.23,7.7068,2385255
"omn",2004,1.93665,11.44761,21.87,3.152,51.37792,17671.57505,38.86952,75.65,7.89903,2444751
"omn",2005,1.6166,11.9037,21.62,3.078,58.27964,17631.93969,31.06016,76.02,8.11395,2511269
"omn",2006,1.40187,15.33246,21.48,3.01,56.17247,18063.25193,31.66428,76.13,8.34569,2582991
"omn",2007,1.37747,16.41002,21.41,2.949,56.48321,18302.31933,39.98937,76.14,8.60343,2662762
"omn",2008,1.11623,15.47868,21.38,2.895,58.48041,19112.19706,37.18064,76.42,8.91442,2759014
"omn",2009,1.47646,14.25745,21.35,2.845,50.63611,19408.63402,34.64604,76.27,9.31484,2882942
"omn",2010,1.38224,15.59053,21.27,2.799,65.65194,19281.00081,41.20986,76.09,9.82701,3041460
"omn",2011,1.25526,16.68987,21.09,2.754,72.74615,17913.93164,43.03652,76.38,10.45967,3237268
"omn",2012,1.1575,17.07526,20.81,2.709,67.98657,18300.41451,37.33984,76.73,11.19433,3464644
"omn",2013,1.30135,16.5374,20.42,2.663,71.48458,17830.30899,45.06952,76.94,11.99186,3711481
"omn",2014,1.27225,15.44317,19.92,2.618,66.0682,17167.05043,38.16674,77.16,12.79782,3960925
"pak",1967,35.3405,0.33959,43.76,16.51,9.17075,407.03329,18.11189,55.08,69.51916,53590929
"pak",1968,36.32446,0.37914,43.55,16.032,9.15917,424.96506,14.77085,55.74,71.40203,55042397
"pak",1969,34.14741,0.35797,43.33,15.584,8.66432,436.47668,13.86523,56.36,73.34791,56542434
"pak",1970,33.43316,0.35344,43.11,15.169,7.76879,473.07741,14.66995,56.95,75.35642,58090759
"pak",1971,32.15877,0.32616,42.9,14.789,7.14233,462.58108,12.78996,52.27,77.42728,59687140
"pak",1972,33.17548,0.3086,42.72,14.444,11.77432,453.79056,16.98249,57.71,79.56914,61338261
"pak",1973,32.75911,0.31774,42.57,14.134,13.52683,472.58623,16.30363,58.07,81.80194,63059481
"pak",1974,32.3351,0.33018,42.46,13.854,13.68056,475.65377,20.77731,58.2,84.15166,64870833
"pak",1975,29.86924,0.34766,42.37,13.601,10.85362,481.45746,22.39242,58.67,86.63852,66787901
"pak",1976,29.03272,0.33189,42.32,13.371,10.72161,491.38136,19.37401,58.98,89.2658,68813220
"pak",1977,29.36133,0.34377,42.28,13.161,9.28464,495.42293,19.02082,59.27,92.03278,70946231
"pak",1978,28.66301,0.35711,42.25,12.963,9.24069,518.85173,18.47913,59.68,94.94985,73194937
"pak",1979,27.75218,0.37384,42.22,12.775,10.69262,521.44874,22.75728,59.99,98.02781,75567682
"pak",1980,26.506,0.41077,42.2,12.594,12.48728,556.31062,24.09992,60.32,101.27146,78068144
"pak",1981,27.46229,0.42629,42.21,12.419,12.31717,580.81674,23.01232,60.65,104.68159,80696945
"pak",1982,28.44777,0.44802,42.24,12.251,9.94559,598.40312,21.7645,61.01,108.24754,83445863
"pak",1983,27.2732,0.46703,42.29,12.088,11.91851,617.85002,22.97757,61.33,111.94692,86297640
"pak",1984,24.89269,0.4803,42.33,11.926,11.07039,627.81996,22.62614,61.63,115.74947,89228949
"pak",1985,25.69061,0.51156,42.31,11.761,10.42335,653.57982,22.81418,61.75,119.62885,92219488
"pak",1986,25.03246,0.51911,42.2,11.587,11.90075,667.49758,22.6666,61.98,123.57884,95264460
"pak",1987,23.63406,0.54429,41.96,11.402,13.23483,688.22187,21.00363,62.01,127.59116,98357473
"pak",1988,23.15702,0.57368,41.58,11.204,13.58642,717.94598,21.67019,62.09,131.63506,101474835
"pak",1989,23.91701,0.58282,41.04,10.994,13.88311,731.12073,21.74696,62.27,135.67415,104588490
"pak",1990,23.06228,0.63676,40.37,10.774,15.53831,741.80145,23.37119,62.45,139.68272,107678614
"pak",1991,22.92953,0.6163,39.6,10.549,16.99694,757.86886,18.55774,62.53,143.64158,110730420
